n,estimate
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,85
4,85
4,53
4,53
4,85
4,85
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,85
4,53
4,53
4,85
4,85
4,85
4,85
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,85
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,85
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,85
4,85
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,85
4,53
4,85
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,85
4,53
4,53
4,85
4,85
4,53
4,85
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,85
4,85
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,85
4,53
4,85
4,85
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,85
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,85
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,85
4,85
4,53
4,85
4,85
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
